	words	document_8	document_6	document_19	document_20	document_3	document_12	document_1	document_4	document_9	document_14	document_15	document_2	document_11	document_5	document_7	document_16	document_18	document_13	document_17	document_10
254	foundation	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
255	reassurance	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256	neglect	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
257	goes	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
258	summons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
259	humorously	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
260	buildings	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261	decay	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	income	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
263	mortgage	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
264	challenge	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
265	Nor	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	lettura	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
267	sound	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268	exposing	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
269	table	0	0	1	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0
270	venture	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271	Reiberdatschi	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
272	Kirmes	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
273	EnglandJimmy	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
274	confers	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275	man	0	0	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
